,cohort,treatment2,user_count,has_ride_sum,has_ride_avg,discount_all_avg,discount_avg,gmv_avg,nmv_avg,finished_order_avg,control_gmv_avg,control_has_ride_avg,control_discount_all_avg,gmv_uplift,gmv_uplift_ratio,activation_uplift,activation_uplift_ratio,discount_all_sum p-val,gmv_sum p-val,nmv_sum p-val,finished_order_count p-val,has_ride p-val
0,high_frequency,None_control,4712,1082,0.2296264855687606,0.0017152224415706578,0.0,1.3189654182862447,1.317250195844674,0.533955857385399,1.3189654182862447,0.2296264855687606,0.0017152224415706578,,,,,1.0,1.0,1.0,1.0,1.0
1,high_frequency,"ZA, Durban, 2021W4, unlockable lock test, -10% x 10 (5 ZAR)_10",4655,1077,0.23136412459720732,0.08410200952821809,0.049472196498053976,1.3754351632375523,1.2913331537093338,0.5402792696025779,1.3189654182862447,0.2296264855687606,0.0017152224415706578,0.05646974495130763,0.6714434680940743,0.0017376390284467025,0.02066108810234417,0.0,0.4795,0.737,0.8309,0.8418
2,high_frequency,"ZA, Durban, 2021W4, unlockable lock test, -20% x 10 (10 ZAR)_20",4741,1153,0.24319763762919216,0.20118284082718996,0.12472655535111236,1.5740990359530778,1.3729161951258886,0.6355199325036912,1.3189654182862447,0.2296264855687606,0.0017152224415706578,0.25513361766683307,1.2681678845860678,0.013571152060431552,0.0674568069753462,0.0,0.0038,0.4926,0.0017,0.1205
3,high_frequency,"ZA, Durban, 2021W4, unlockable lock test, -30% x 10 (15 ZAR)_30",4723,1164,0.24645352530171502,0.3195307377724845,0.20250196035436557,1.7116487745117106,1.3921180367392278,0.6817700614016515,1.3189654182862447,0.2296264855687606,0.0017152224415706578,0.3926833562254659,1.2289376570246218,0.016827039732954407,0.052661724659916025,0.0,0.0,0.3456,0.0,0.055
4,high_frequency,"ZA, Durban, 2021W4, unlockable rfm test, -10% x 10 (5 ZAR)_10",4607,1072,0.2326893857173866,0.11310380149070859,0.04991826178629715,1.3386134836778274,1.2255096821871176,0.5348382895593662,1.3189654182862447,0.2296264855687606,0.0017152224415706578,0.019648065391582703,0.17371710882058,0.00306290014862598,0.027080435036284746,0.0,0.8083,0.2379,0.9763,0.7259
5,high_frequency,"ZA, Durban, 2021W4, unlockable rfm test, -20% x 10 (10 ZAR)_20",4676,1149,0.2457228400342173,0.22622461564112767,0.11169484988244938,1.5798709459593154,1.3536463303181878,0.611633875106929,1.3189654182862447,0.2296264855687606,0.0017152224415706578,0.26090552767307074,1.1533029990288912,0.01609635446545668,0.07115209111899298,0.0,0.0033,0.6598,0.0123,0.067
6,high_frequency,"ZA, Durban, 2021W4, unlockable rfm test, -30% x 10 (15 ZAR)_30",4670,1244,0.2663811563169165,0.3584034488576832,0.19653837679500624,1.7512671166651534,1.3928636678074684,0.7100642398286938,1.3189654182862447,0.2296264855687606,0.0017152224415706578,0.43230169837890875,1.2061873281542261,0.03675467074815589,0.10255110787940724,0.0,0.0,0.3373,0.0,0.0
7,high_recency,None_control,4779,1168,0.24440259468508055,0.002775481745703804,0.0,1.3527052398637718,1.3499297581180676,0.5109855618330195,1.3527052398637718,0.24440259468508055,0.002775481745703804,,,,,1.0,1.0,1.0,1.0,1.0
8,high_recency,"ZA, Durban, 2021W4, unlockable lock test, -10% x 10 (5 ZAR)_10",4772,1210,0.25356244761106456,0.08071028076109883,0.05360416805772937,1.345706156335216,1.2649958755741173,0.539815590947192,1.3527052398637718,0.24440259468508055,0.002775481745703804,-0.006999083528555827,-0.08671861208453735,0.009159852925984008,0.11349053478201902,0.0,0.9314,0.2815,0.3143,0.3007
9,high_recency,"ZA, Durban, 2021W4, unlockable lock test, -20% x 10 (10 ZAR)_20",4903,1280,0.26106465429328984,0.19461606953231544,0.13253074138409673,1.6041101774494844,1.4094941079171674,0.6294105649602284,1.3527052398637718,0.24440259468508055,0.002775481745703804,0.2514049375857126,1.291799480843834,0.016662059608209295,0.08561502474204787,0.0,0.0049,0.4766,0.0001,0.0592
