,cohort,treatment2,user_count,has_ride_sum,has_ride_avg,discount_all_avg,discount_avg,gmv_avg,nmv_avg,finished_order_avg,control_gmv_avg,control_has_ride_avg,control_discount_all_avg,gmv_uplift,gmv_uplift_ratio,activation_uplift,activation_uplift_ratio,discount_all_sum p-val,gmv_sum p-val,nmv_sum p-val,finished_order_count p-val,has_ride p-val
0,high_frequency,None_control,4712,1586,0.3365874363327674,0.004174159991833079,0.0,2.698126177960091,2.6939520179682575,1.0723684210526316,2.698126177960091,0.3365874363327674,0.004174159991833079,,,,,1.0,1.0,1.0,1.0,1.0
1,high_frequency,"ZA, Durban, 2021W4, unlockable lock test, -10% x 10 (5 ZAR)_10",4655,1535,0.3297529538131042,0.08682334558617899,0.049472196498053976,2.693093959332484,2.606270613746305,1.066595059076262,2.698126177960091,0.3365874363327674,0.004174159991833079,-0.005032218627607055,-0.057959280348304276,-0.0068344825196631764,-0.07871710625202084,0.0,0.9718,0.5309,0.9131,0.4829
2,high_frequency,"ZA, Durban, 2021W4, unlockable lock test, -20% x 10 (10 ZAR)_20",4741,1613,0.34022358152288545,0.20212002080025995,0.12472655535111236,2.869534153740754,2.667414132940486,1.1567179919848134,2.698126177960091,0.3365874363327674,0.004174159991833079,0.17140797578066325,0.8480504558727158,0.0036361451901180675,0.017990029764104354,0.0,0.2375,0.849,0.1142,0.7088
3,high_frequency,"ZA, Durban, 2021W4, unlockable lock test, -30% x 10 (15 ZAR)_30",4723,1625,0.34406097819182724,0.3195307377724845,0.20250196035436557,3.0564107231952233,2.7368799854227372,1.2280330298539064,2.698126177960091,0.3365874363327674,0.004174159991833079,0.3582845452351324,1.1212835038431948,0.007473541859059851,0.02338911715085526,0.0,0.0167,0.7621,0.0047,0.4437
4,high_frequency,"ZA, Durban, 2021W4, unlockable rfm test, -10% x 10 (5 ZAR)_10",4607,1487,0.3227696982852181,0.1132267884255395,0.04991826178629715,2.6156925011643244,2.502465712738784,1.0542652485348383,2.698126177960091,0.3365874363327674,0.004174159991833079,-0.08243367679576652,-0.728040404060182,-0.013817738047549266,-0.12203594431750683,0.0,0.5721,0.1811,0.7334,0.156
5,high_frequency,"ZA, Durban, 2021W4, unlockable rfm test, -20% x 10 (10 ZAR)_20",4676,1595,0.34110350727117195,0.22755803271623656,0.11169484988244938,2.9511870529642965,2.7236290202480613,1.1325919589392643,2.698126177960091,0.3365874363327674,0.004174159991833079,0.2530608750042056,1.1120718173889774,0.004516070938404559,0.019845798825463005,0.0,0.1192,0.8502,0.2547,0.644
6,high_frequency,"ZA, Durban, 2021W4, unlockable rfm test, -30% x 10 (15 ZAR)_30",4670,1681,0.35995717344753747,0.35956618120867007,0.19653837679500624,3.243664910611968,2.8840987294033025,1.3012847965738759,2.698126177960091,0.3365874363327674,0.004174159991833079,0.545538732651877,1.5172136901698214,0.023369737114770084,0.06499425790326963,0.0,0.0002,0.1786,0.0,0.0175
7,high_recency,None_control,4779,1614,0.33772755806654114,0.0044411622037004,0.0,2.388390832279898,2.383949670076198,0.9127432517263026,2.388390832279898,0.33772755806654114,0.0044411622037004,,,,,1.0,1.0,1.0,1.0,1.0
8,high_recency,"ZA, Durban, 2021W4, unlockable lock test, -10% x 10 (5 ZAR)_10",4772,1642,0.3440905280804694,0.08082773272681834,0.05360416805772937,2.415221493410344,2.334393760683524,0.9488683989941324,2.388390832279898,0.33772755806654114,0.0044411622037004,0.026830661130445854,0.33194870405592286,0.006362970013928271,0.0787226091746733,0.0,0.827,0.6807,0.4203,0.5119
9,high_recency,"ZA, Durban, 2021W4, unlockable lock test, -20% x 10 (10 ZAR)_20",4903,1720,0.3508056292066082,0.19554653040461362,0.13253074138409673,2.760205084942906,2.5646585545382905,1.0624107689169895,2.388390832279898,0.33772755806654114,0.0044411622037004,0.37181425266300794,1.9014106355846423,0.013078071140067038,0.06687958673061929,0.0,0.0073,0.1758,0.0012,0.1757
10,high_recency,"ZA, Durban, 2021W4, unlockable lock test, -30% x 10 (15 ZAR)_30",4826,1749,0.3624119353501865,0.35016989153011063,0.22631313102215284,2.9203442807393962,2.5701743892092885,1.1645254869457107,2.388390832279898,0.33772755806654114,0.0044411622037004,0.5319534484594981,1.5191296034478057,0.024684377283645365,0.07049257483498632,0.0,0.0,0.1252,0.0,0.0112
11,high_recency,"ZA, Durban, 2021W4, unlockable rfm test, -10% x 10 (5 ZAR)_10",4672,1598,0.3420376712328767,0.11565605525059458,0.05571331029356157,2.4961710400333224,2.3805149847827245,0.9805222602739726,2.388390832279898,0.33772755806654114,0.0044411622037004,0.10778020775342423,0.9319028521238635,0.004310113166335561,0.03726664511422892,0.0,0.3903,0.9777,0.127,0.6583
12,high_recency,"ZA, Durban, 2021W4, unlockable rfm test, -20% x 10 (10 ZAR)_20",4784,1752,0.36622073578595316,0.23074920274421723,0.12969117089811766,2.650554663371576,2.419805460627358,1.0361622073578596,2.388390832279898,0.33772755806654114,0.0044411622037004,0.26216383109167785,1.1361418716678444,0.02849317771941201,0.1234811534798513,0.0,0.0376,0.7682,0.0059,0.0035
13,high_recency,"ZA, Durban, 2021W4, unlockable rfm test, -30% x 10 (15 ZAR)_30",4768,1712,0.35906040268456374,0.3500110512236905,0.2051423301591177,2.7276881138349065,2.377677062611216,1.0576761744966443,2.388390832279898,0.33772755806654114,0.0044411622037004,0.3392972815550084,0.9693901960203108,0.021332844618022595,0.060949060160928666,0.0,0.0082,0.9588,0.0013,0.0287
14,med_activity,None_control,2158,701,0.32483781278962004,0.0,0.0,1.8568522264164888,1.8568522264164888,0.6904541241890639,1.8568522264164888,0.32483781278962004,0.0,,,,,,1.0,1.0,1.0,1.0
15,med_activity,"ZA, Durban, 2021W4, unlockable lock test, -10% x 10 (5 ZAR)_10",2165,746,0.3445727482678984,0.06363201574307893,0.04287153343797131,2.285199463128583,2.221567447385503,0.846189376443418,1.8568522264164888,0.32483781278962004,0.0,0.4283472367120942,6.731630794812347,0.01973493547827837,0.3101416047852434,0.0,0.0084,0.0229,0.0019,0.1692
16,med_activity,"ZA, Durban, 2021W4, unlockable lock test, -20% x 10 (10 ZAR)_20",2144,733,0.341884328358209,0.14814630773810933,0.0995567477548662,2.110376273534172,1.9622299657960627,0.8199626865671642,1.8568522264164888,0.32483781278962004,0.0,0.25352404711768295,1.711308577233384,0.017046515568588938,0.11506540951883523,0.0,0.078,0.4431,0.0088,0.2358
17,med_activity,"ZA, Durban, 2021W4, unlockable lock test, -30% x 10 (15 ZAR)_30",2126,784,0.36876763875823143,0.24384317103870956,0.1805700852101642,2.4831844102944847,2.2393412392557717,0.9496707431796801,1.8568522264164888,0.32483781278962004,0.0,0.6263321838779958,2.5685861170931337,0.04392982596861139,0.18015606416813545,0.0,0.0,0.0059,0.0,0.0025
18,med_activity,"ZA, Durban, 2021W4, unlockable rfm test, -10% x 10 (5 ZAR)_10",2259,757,0.33510402833111996,0.09324069940048502,0.04441994500703648,2.066177606667127,1.9729369072666423,0.7764497565294378,1.8568522264164888,0.32483781278962004,0.0,0.20932538025063807,2.245000108284786,0.010266215541499923,0.11010444588585444,0.0,0.1308,0.3933,0.065,0.4683
19,med_activity,"ZA, Durban, 2021W4, unlockable rfm test, -20% x 10 (10 ZAR)_20",2178,733,0.3365472910927456,0.10351430360244293,0.10351430360244293,2.0204023056029863,1.9168880020005425,0.7800734618916437,1.8568522264164888,0.32483781278962004,0.0,0.16355007918649744,1.579975650656241,0.011709478303125576,0.11311942307120185,0.0,0.2414,0.6615,0.0644,0.4126
20,med_activity,"ZA, Durban, 2021W4, unlockable rfm test, -30% x 10 (15 ZAR)_30",2274,782,0.3438874230430959,0.2638471954205796,0.14332880447746793,2.3310990626211314,2.0672518672005515,0.832014072119613,1.8568522264164888,0.32483781278962004,0.0,0.4742468362046426,1.7974298928919075,0.019049610253475846,0.07219940398877558,0.0,0.0081,0.2152,0.0045,0.1791
